Series,Level,Model,n_exc,n_exp,CoverageRate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,ES_Z2,ES_p
ETH-USD,0.975,Constant (unconditional variance),4,7.9000,0.0127,2.4046,0.1210,0.1029,0.7484,2.5075,0.2854,-0.4952,0.1560
DJIA,0.975,Constant (unconditional variance),0,6.9750,0.0000,14.1273,0.0002,0.0000,1.0000,14.1273,0.0009,-1.0000,0.0020
SP500,0.975,Constant (unconditional variance),2,6.9750,0.0072,5.0437,0.0247,0.0290,0.8648,5.0727,0.0792,-0.7506,0.0140
GOLD,0.975,Constant (unconditional variance),29,6.9750,0.1039,40.4314,0.0000,0.4797,0.4886,40.9111,0.0000,4.5070,0.0000
OIL,0.975,Constant (unconditional variance),10,6.9750,0.0358,1.1888,0.2756,0.8529,0.3557,2.0417,0.3603,0.7676,0.0560
Combined (Fisher),0.975,Constant (unconditional variance),—,—,—,—,0.0000,—,0.9731,—,0.0000,—,0.0002
BTC-USD,0.975,"EGARCH(1,1)",7,10.7750,0.0162,1.5454,0.2138,0.2317,0.6303,1.7771,0.4113,-0.3838,0.2220
ETH-USD,0.975,"EGARCH(1,1)",10,7.9000,0.0316,0.5288,0.4671,1.0299,0.3102,1.5587,0.4587,0.2734,0.4460
DJIA,0.975,"EGARCH(1,1)",8,6.9750,0.0287,0.1476,0.7008,0.4741,0.4911,0.6217,0.7328,0.1010,0.7320
SP500,0.975,"EGARCH(1,1)",6,6.9750,0.0215,0.1466,0.7018,0.2647,0.6069,0.4113,0.8141,0.1325,0.6680
GOLD,0.975,"EGARCH(1,1)",10,6.9750,0.0358,1.1888,0.2756,0.7464,0.3876,1.9352,0.3800,0.8100,0.0440
OIL,0.975,"EGARCH(1,1)",11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.5984,0.1380
Combined (Fisher),0.975,"EGARCH(1,1)",—,—,—,—,0.4183,—,0.6394,—,0.6821,—,0.1794
BTC-USD,0.975,"FIGARCH(1,d,1)",14,10.7750,0.0325,0.9060,0.3412,0.5280,0.4674,1.4340,0.4882,0.2643,0.3620
ETH-USD,0.975,"FIGARCH(1,d,1)",11,7.9000,0.0348,1.1140,0.2912,0.7560,0.3846,1.8700,0.3926,0.4196,0.2620
DJIA,0.975,"FIGARCH(1,d,1)",11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.4912,0.2200
SP500,0.975,"FIGARCH(1,d,1)",7,6.9750,0.0251,0.0001,0.9924,0.3617,0.5476,0.3618,0.8345,0.2711,0.4540
GOLD,0.975,"FIGARCH(1,d,1)",11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.9600,0.0280
OIL,0.975,"FIGARCH(1,d,1)",10,6.9750,0.0358,1.1888,0.2756,0.7464,0.3876,1.9352,0.3800,0.3312,0.3800
Combined (Fisher),0.975,"FIGARCH(1,d,1)",—,—,—,—,0.2586,—,0.5430,—,0.4885,—,0.1039
BTC-USD,0.975,"GARCH(1,1)",11,10.7750,0.0255,0.0048,0.9448,0.5776,0.4472,0.5824,0.7474,0.0237,0.8380
ETH-USD,0.975,"GARCH(1,1)",9,7.9000,0.0285,0.1504,0.6981,1.3624,0.2431,1.5128,0.4694,0.1629,0.6260
DJIA,0.975,"GARCH(1,1)",9,6.9750,0.0323,0.5532,0.4570,0.6023,0.4377,1.1555,0.5611,0.2100,0.5560
SP500,0.975,"GARCH(1,1)",6,6.9750,0.0215,0.1466,0.7018,0.2647,0.6069,0.4113,0.8141,0.1637,0.6300
GOLD,0.975,"GARCH(1,1)",11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.9001,0.0320
OIL,0.975,"GARCH(1,1)",11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.5262,0.2060
Combined (Fisher),0.975,"GARCH(1,1)",—,—,—,—,0.5644,—,0.4956,—,0.6563,—,0.3384
BTC-USD,0.975,GARCH-LSTM,9,10.7750,0.0209,0.3174,0.5732,0.3848,0.5350,0.7022,0.7039,-0.2019,0.5500
ETH-USD,0.975,GARCH-LSTM,10,7.9000,0.0316,0.5288,0.4671,1.0299,0.3102,1.5587,0.4587,0.2121,0.5400
DJIA,0.975,GARCH-LSTM,7,6.9750,0.0251,0.0001,0.9924,0.3617,0.5476,0.3618,0.8345,-0.1050,0.8260
SP500,0.975,GARCH-LSTM,5,6.9750,0.0179,0.6354,0.4254,0.1832,0.6687,0.8186,0.6641,-0.1806,0.6980
GOLD,0.975,GARCH-LSTM,18,6.9750,0.0645,12.5324,0.0004,0.0280,0.8670,12.5604,0.0019,2.0220,0.0000
OIL,0.975,GARCH-LSTM,13,6.9750,0.0466,4.2725,0.0387,0.2370,0.6264,4.5095,0.1049,1.1154,0.0100
Combined (Fisher),0.975,GARCH-LSTM,—,—,—,—,0.0091,—,0.8691,—,0.0585,—,0.2386
BTC-USD,0.975,"GJR-GARCH(1,1)",12,10.7750,0.0278,0.1378,0.7104,0.6891,0.4065,0.8269,0.6614,0.1571,0.5400
ETH-USD,0.975,"GJR-GARCH(1,1)",9,7.9000,0.0285,0.1504,0.6981,1.3624,0.2431,1.5128,0.4694,0.1798,0.5980
DJIA,0.975,"GJR-GARCH(1,1)",8,6.9750,0.0287,0.1476,0.7008,0.4741,0.4911,0.6217,0.7328,0.1189,0.6980
SP500,0.975,"GJR-GARCH(1,1)",8,6.9750,0.0287,0.1476,0.7008,0.4741,0.4911,0.6217,0.7328,0.3553,0.3520
GOLD,0.975,"GJR-GARCH(1,1)",10,6.9750,0.0358,1.1888,0.2756,0.7464,0.3876,1.9352,0.3800,0.7415,0.0680
OIL,0.975,"GJR-GARCH(1,1)",11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.7067,0.0760
Combined (Fisher),0.975,"GJR-GARCH(1,1)",—,—,—,—,0.6906,—,0.4849,—,0.7485,—,0.2103
BTC-USD,0.975,HAR,4,10.7750,0.0093,5.7312,0.0167,0.0751,0.7840,5.8063,0.0548,-0.6145,0.0220
ETH-USD,0.975,HAR,8,7.9000,0.0253,0.0013,0.9713,1.7646,0.1841,1.7659,0.4136,-0.0757,0.9040
DJIA,0.975,HAR,6,6.9750,0.0215,0.1466,0.7018,0.2647,0.6069,0.4113,0.8141,-0.2105,0.6460
SP500,0.975,HAR,6,6.9750,0.0215,0.1466,0.7018,0.2647,0.6069,0.4113,0.8141,-0.0398,0.9580
GOLD,0.975,HAR,13,6.9750,0.0466,4.2725,0.0387,1.2760,0.2586,5.5485,0.0624,1.2841,0.0040
OIL,0.975,HAR,10,6.9750,0.0358,1.1888,0.2756,0.7464,0.3876,1.9352,0.3800,0.4353,0.2920
Combined (Fisher),0.975,HAR,—,—,—,—,0.0950,—,0.5749,—,0.1968,—,0.0343
BTC-USD,0.975,LSTM-Attention,7,10.7750,0.0162,1.5454,0.2138,0.2317,0.6303,1.7771,0.4113,-0.3039,0.3400
ETH-USD,0.975,LSTM-Attention,10,7.9000,0.0316,0.5288,0.4671,4.6286,0.0314,5.1574,0.0759,0.2574,0.4760
DJIA,0.975,LSTM-Attention,4,6.9750,0.0143,1.5341,0.2155,0.1168,0.7325,1.6509,0.4380,-0.5411,0.1320
SP500,0.975,LSTM-Attention,3,6.9750,0.0108,2.9455,0.0861,0.0655,0.7981,3.0110,0.2219,-0.5414,0.1320
GOLD,0.975,LSTM-Attention,19,6.9750,0.0681,14.5696,0.0001,0.0850,0.7706,14.6546,0.0007,2.2843,0.0000
OIL,0.975,LSTM-Attention,17,6.9750,0.0609,10.6140,0.0011,0.8182,0.3657,11.4322,0.0033,1.8161,0.0000
Combined (Fisher),0.975,LSTM-Attention,—,—,—,—,0.0000,—,0.4907,—,0.0002,—,0.1631
BTC-USD,0.975,LSTM-SSE,11,10.7750,0.0255,0.0048,0.9448,0.5776,0.4472,0.5824,0.7474,-0.0222,0.9480
ETH-USD,0.975,LSTM-SSE,9,7.9000,0.0285,0.1504,0.6981,1.3624,0.2431,1.5128,0.4694,0.1321,0.6680
DJIA,0.975,LSTM-SSE,11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.3825,0.3340
SP500,0.975,LSTM-SSE,8,6.9750,0.0287,0.1476,0.7008,0.4741,0.4911,0.6217,0.7328,0.1615,0.6360
GOLD,0.975,LSTM-SSE,20,6.9750,0.0717,16.7199,0.0000,0.1714,0.6789,16.8913,0.0002,2.3728,0.0000
OIL,0.975,LSTM-SSE,15,6.9750,0.0538,7.1606,0.0075,1.4487,0.2287,8.6093,0.0135,1.3910,0.0020
Combined (Fisher),0.975,LSTM-SSE,—,—,—,—,0.1295,—,0.4670,—,0.0018,—,0.0877
BTC-USD,0.975,"MSGARCH(1,1)",5,10.7750,0.0116,3.9511,0.0468,0.1176,0.7316,4.0687,0.1308,-0.4684,0.1160
